YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2015,201510444415,89.85326,3,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510444416,179.70652,3,2,4,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444417,89.85326,2,2,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444419,106.644961,2,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510444420,106.644961,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444422,106.644961,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444423,106.644961,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444424,106.644961,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444425,213.289922,3,2,4,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444426,106.644961,3,2,4,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444440,108.584,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444446,217.168,3,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444449,197.12122,3,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444452,49.280305,2,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510444457,89.85326,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444458,89.85326,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444459,179.70652,3,2,4,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444460,89.85326,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2015,201510444462,179.70652,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444463,89.85326,3,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444465,179.70652,3,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444475,108.584,3,2,4,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444477,54.292,2,2,1,2,2,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510444482,217.168,3,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444488,98.56061,3,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444489,49.280305,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444491,197.12122,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444494,98.56061,3,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444501,179.70652,3,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510444503,89.85326,3,2,4,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510444505,217.168,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1
2015,201510444506,108.584,3,2,4,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510444514,108.584,3,2,1,1,1,4,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444522,217.168,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444534,215.54684,2,2,1,1,1,4,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510444555,54.292,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444560,108.584,3,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2015,201510444564,108.584,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2015,201510444566,27.146,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
2015,201510444568,54.292,2,2,1,2,2,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444569,217.168,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510444575,107.77342,3,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444577,215.54684,3,2,4,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510444582,49.280305,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444584,98.56061,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444587,98.56061,3,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444589,98.56061,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510444592,179.70652,3,2,4,2,3,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444594,179.70652,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444596,106.644961,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444597,106.644961,2,2,4,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1
